price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,sqft_basement_num
234900.0,3,1.0,1250,8000,1.0,0.0,0.0,3,7,1250,1956,0.0,98146,47.5065,-122.337,1040,6973,0.0
270000.0,3,2.25,1760,8287,1.0,0.0,0.0,3,7,1160,1986,0.0,98188,47.4501,-122.274,1290,9587,600.0
329950.0,3,2.5,1300,812,2.0,0.0,0.0,3,8,880,2008,0.0,98144,47.5893,-122.31700000000001,1300,824,420.0
255544.0,3,1.0,1360,6186,1.5,0.0,0.0,4,6,760,1941,0.0,98133,47.7503,-122.334,1610,7453,600.0
258950.0,3,1.75,1440,8050,1.0,0.0,0.0,3,8,1440,1985,0.0,98023,47.3187,-122.39,1790,7488,0.0
365000.0,3,1.75,1380,9134,1.0,0.0,0.0,5,7,880,1981,0.0,98056,47.5087,-122.193,1400,8190,500.0
545000.0,3,2.0,1340,7200,1.5,0.0,0.0,4,7,1340,1923,0.0,98118,47.5601,-122.265,1630,5760,0.0
1550000.0,5,3.25,3370,17458,1.0,0.0,2.0,5,10,2000,1982,0.0,98040,47.5591,-122.229,4240,15202,1370.0
400000.0,2,1.0,1140,5100,1.0,0.0,0.0,3,7,1140,1942,0.0,98136,47.5323,-122.383,1230,5100,0.0
698000.0,4,2.5,2990,7231,2.0,0.0,0.0,3,9,2990,2001,0.0,98075,47.5623,-122.03200000000001,3160,8339,0.0
645000.0,3,3.75,2050,6000,2.0,0.0,0.0,5,7,1550,1910,0.0,98103,47.6873,-122.33200000000001,1780,4000,500.0
345000.0,5,3.0,2080,6150,1.0,0.0,0.0,3,7,1040,1950,0.0,98116,47.5707,-122.39399999999999,1420,6150,1040.0
162950.0,2,1.0,950,2784,1.0,0.0,0.0,4,8,950,1972,0.0,98198,47.3793,-122.321,1080,3899,0.0
1000000.0,4,2.5,2610,3277,1.5,0.0,0.0,5,8,1920,1922,0.0,98103,47.6636,-122.33,1810,3277,690.0
315000.0,2,1.0,780,7200,1.0,0.0,0.0,2,6,780,1935,0.0,98118,47.5609,-122.279,1750,7200,0.0
1250000.0,4,3.25,3160,10043,2.0,0.0,2.0,3,9,3160,2011,0.0,98034,47.7001,-122.238,3450,10043,0.0
551100.0,3,1.0,1430,8640,1.0,0.0,0.0,5,7,1430,1954,0.0,98006,47.571999999999996,-122.147,1430,9840,0.0
445000.0,5,3.0,2930,5500,1.0,0.0,0.0,3,7,1750,1951,0.0,98118,47.5572,-122.281,1400,5500,1180.0
430000.0,4,1.5,1560,6534,1.0,0.0,0.0,4,7,1560,1962,0.0,98007,47.6012,-122.152,1560,6969,0.0
268500.0,4,1.75,1420,7500,1.0,0.0,0.0,4,7,1080,1981,0.0,98031,47.4025,-122.176,1500,7260,340.0
824000.0,4,2.25,2490,9864,1.0,0.0,0.0,4,8,1290,1961,0.0,98004,47.6051,-122.195,2360,9864,1200.0
